year,subject,school_code,school_name,group_code,min_score,min_rank,remarks
2025,物理,C508,鄂州职业大学,C50812,348,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C508,鄂州职业大学,C50813,173,247396,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C508,鄂州职业大学,C50814,417,155250,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C509,咸宁职业技术学院,C50908,126,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C510,湖北工程职业学院,C51007,377,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C510,湖北工程职业学院,C51009,401,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C510,湖北工程职业学院,C51010,155,247703,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C512,湖北幼儿师范高等专科学校,C51204,140,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C512,湖北幼儿师范高等专科学校,C51206,155,247703,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C515,湖北体育职业学院,C51504,226,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C521,武汉城市职业学院,C52111,424,150066,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C522,湖北轻工职业技术学院,C52206,331,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C523,湖北交通职业技术学院,C52310,412,158810,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C523,湖北交通职业技术学院,C52312,376,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C523,湖北交通职业技术学院,C52313,162,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C523,湖北交通职业技术学院,C52314,428,147149,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C523,湖北交通职业技术学院,C52315,421,152307,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C526,武汉工程职业技术学院,C52608,394,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C526,武汉工程职业技术学院,C52611,388,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C528,恩施职业技术学院,C52806,341,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C528,恩施职业技术学院,C52808,425,149376,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C529,长江职业学院,C52908,105,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C529,长江职业学院,C52911,440,137777,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C533,仙桃职业学院,C53306,331,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C535,湖北艺术职业学院,C53502,343,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C536,武汉铁路职业技术学院,C53607,180,247209,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C536,武汉铁路职业技术学院,C53608,379,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C536,武汉铁路职业技术学院,C53609,223,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C536,武汉铁路职业技术学院,C53610,438,139408,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C537,武汉交通职业学院,C53713,165,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C537,武汉交通职业学院,C53714,391,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C537,武汉交通职业学院,C53717,138,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C537,武汉交通职业学院,C53719,423,150796,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C539,湖北中医药高等专科学校,C53905,170,247475,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C539,湖北中医药高等专科学校,C53907,422,151529,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C550,武汉民政职业学院,C55006,365,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C553,长江工程职业技术学院,C55307,102,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C553,长江工程职业技术学院,C55309,333,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C553,长江工程职业技术学院,C55310,162,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C556,湖北生物科技职业学院,C55609,416,155924,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C556,湖北生物科技职业学院,C55610,176,247315,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C558,湖北生态工程职业技术学院,C55809,390,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C558,湖北生态工程职业技术学院,C55810,378,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C558,湖北生态工程职业技术学院,C55812,289,225756,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C558,湖北生态工程职业技术学院,C55814,416,155924,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C558,湖北生态工程职业技术学院,C55815,418,154528,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C559,湖北财税职业学院,C55907,158,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C559,湖北财税职业学院,C55908,422,151529,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C559,湖北财税职业学院,C55909,182,247147,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C560,湖北城市建设职业技术学院,C56010,416,155924,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C560,湖北城市建设职业技术学院,C56012,116,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C561,湖北水利水电职业技术学院,C56107,179,247239,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C561,湖北水利水电职业技术学院,C56109,185,247052,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C561,湖北水利水电职业技术学院,C56111,416,155924,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C562,武汉软件工程职业学院,C56209,407,162272,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C563,武汉警官职业学院,C56308,401,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C573,襄阳汽车职业技术学院,C57307,373,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C573,襄阳汽车职业技术学院,C57308,146,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C573,襄阳汽车职业技术学院,C57309,358,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C573,襄阳汽车职业技术学院,C57310,325,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C577,湖北铁道运输职业学院,C57703,407,162272,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C578,武汉铁路桥梁职业学院,C57804,375,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C580,襄阳科技职业学院,C58006,381,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C601,湖北开放职业学院,C60102,108,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C603,武汉信息传播职业技术学院,C60303,338,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C605,武汉科技职业学院,C60502,334,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C607,武汉商贸职业学院,C60705,276,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C607,武汉商贸职业学院,C60708,416,155924,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C608,武昌职业学院,C60814,416,155924,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C609,武汉外语外事职业学院,C60902,285,227264,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C610,长江艺术工程职业学院,C61002,235,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C613,湖北孝感美珈职业学院,C61302,151,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C170,武汉职业技术大学,C17005,100,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C170,武汉职业技术大学,C17006,431,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C209,武汉设计工程学院,C20905,303,115202,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C219,长江大学文理学院,C21910,147,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C220,三峡大学科技学院,C22005,331,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C228,武汉纺织大学外经贸学院,C22805,298,117062,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C230,湖北工程学院新技术学院,C23004,315,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C231,湖北经济学院法商学院,C23105,317,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C231,湖北经济学院法商学院,C23106,353,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C501,武汉船舶职业技术学院,C50103,133,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C501,武汉船舶职业技术学院,C50107,463,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C502,湖北科技职业学院,C50202,370,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C502,湖北科技职业学院,C50203,377,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C503,武汉航海职业技术学院,C50303,143,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C505,湖北职业技术学院,C50502,120,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C505,湖北职业技术学院,C50503,375,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C505,湖北职业技术学院,C50501,311,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C506,湖北工业职业技术学院,C50601,373,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C506,湖北工业职业技术学院,C50602,349,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C506,湖北工业职业技术学院,C50603,345,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C506,湖北工业职业技术学院,C50605,358,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C506,湖北工业职业技术学院,C50606,122,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C506,湖北工业职业技术学院,C50607,203,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C506,湖北工业职业技术学院,C50608,308,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C507,荆州理工职业学院,C50702,359,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C507,荆州理工职业学院,C50703,319,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C507,荆州理工职业学院,C50701,121,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C508,鄂州职业大学,C50801,378,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C508,鄂州职业大学,C50802,412,64647,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C508,鄂州职业大学,C50803,417,62228,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C508,鄂州职业大学,C50806,151,138136,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C509,咸宁职业技术学院,C50901,365,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C510,湖北工程职业学院,C51005,350,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C511,三峡旅游职业技术学院,C51101,361,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C512,湖北幼儿师范高等专科学校,C51203,439,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C515,湖北体育职业学院,C51501,373,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C521,武汉城市职业学院,C52102,115,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C521,武汉城市职业学院,C52103,410,65548,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C522,湖北轻工职业技术学院,C52201,137,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C523,湖北交通职业技术学院,C52305,119,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C523,湖北交通职业技术学院,C52306,372,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C523,湖北交通职业技术学院,C52307,303,115202,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C523,湖北交通职业技术学院,C52309,137,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C526,武汉工程职业技术学院,C52601,402,69315,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C526,武汉工程职业技术学院,C52604,160,137961,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C526,武汉工程职业技术学院,C52605,392,73964,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C526,武汉工程职业技术学院,C52606,337,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C528,恩施职业技术学院,C52802,342,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C528,恩施职业技术学院,C52803,371,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C529,长江职业学院,C52903,391,74445,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C529,长江职业学院,C52901,456,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C529,长江职业学院,C52905,413,64148,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C531,湖北国土资源职业学院,C53102,371,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C533,仙桃职业学院,C53301,359,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C533,仙桃职业学院,C53302,185,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C535,湖北艺术职业学院,C53501,358,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C536,武汉铁路职业技术学院,C53603,411,65061,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C537,武汉交通职业学院,C53707,119,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C537,武汉交通职业学院,C53708,403,68854,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C537,武汉交通职业学院,C53709,339,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C537,武汉交通职业学院,C53710,284,121814,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C550,武汉民政职业学院,C55001,123,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C550,武汉民政职业学院,C55002,351,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C553,长江工程职业技术学院,C55301,407,66969,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C553,长江工程职业技术学院,C55302,389,75430,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C553,长江工程职业技术学院,C55306,157,138031,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C556,湖北生物科技职业学院,C55601,401,69722,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C556,湖北生物科技职业学院,C55602,424,58997,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C556,湖北生物科技职业学院,C55605,416,62691,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C558,湖北生态工程职业技术学院,C55801,398,71184,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C558,湖北生态工程职业技术学院,C55806,132,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C558,湖北生态工程职业技术学院,C55807,412,64647,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C558,湖北生态工程职业技术学院,C55808,437,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C559,湖北财税职业学院,C55901,417,62228,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C559,湖北财税职业学院,C55902,385,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C559,湖北财税职业学院,C55903,117,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C559,湖北财税职业学院,C55905,137,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C560,湖北城市建设职业技术学院,C56002,226,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C561,湖北水利水电职业技术学院,C56105,133,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C562,武汉软件工程职业学院,C56201,457,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C563,武汉警官职业学院,C56306,437,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C575,天门职业学院,C57501,351,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C578,武汉铁路桥梁职业学院,C57802,334,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C580,襄阳科技职业学院,C58001,351,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C580,襄阳科技职业学院,C58002,349,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C580,襄阳科技职业学院,C58003,388,75924,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C582,荆门通用航空职业技术学院,C58201,315,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C601,湖北开放职业学院,C60101,282,122420,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C603,武汉信息传播职业技术学院,C60302,432,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C605,武汉科技职业学院,C60501,319,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C607,武汉商贸职业学院,C60702,318,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C607,武汉商贸职业学院,C60703,171,137688,专业组代码直接匹配；位次由2025年一分一段表换算
2025,历史,C608,武昌职业学院,C60810,431,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C612,湖北健康职业学院,C61201,153,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,历史,C613,湖北孝感美珈职业学院,C61301,151,138136,专业组代码直接匹配；位次由2025年一分一段表换算
