year,subject,school_code,school_name,group_code,min_score,min_rank,remarks
2025,物理,C170,武汉职业技术大学,C17008,175,247349,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C170,武汉职业技术大学,C17009,410,160172,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C170,武汉职业技术大学,C17010,360,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C170,武汉职业技术大学,C17013,182,247147,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C205,武昌首义学院,C20508,194,246642,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C209,武汉设计工程学院,C20906,221,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C217,武汉工商学院,C21710,325,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C220,三峡大学科技学院,C22006,361,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C228,武汉纺织大学外经贸学院,C22806,282,228396,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C229,湖北文理学院理工学院,C22905,166,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C230,湖北工程学院新技术学院,C23005,333,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C231,湖北经济学院法商学院,C23109,381,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C233,湖北工业大学工程技术学院,C23305,383,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C501,武汉船舶职业技术学院,C50108,430,145627,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C501,武汉船舶职业技术学院,C50113,456,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C502,湖北科技职业学院,C50205,386,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C502,湖北科技职业学院,C50206,181,247181,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C502,湖北科技职业学院,C50208,437,140231,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C505,湖北职业技术学院,C50508,172,247423,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C505,湖北职业技术学院,C50510,379,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C505,湖北职业技术学院,C50511,310,216815,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C505,湖北职业技术学院,C50512,418,154528,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C505,湖北职业技术学院,C50513,136,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C506,湖北工业职业技术学院,C50610,374,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C506,湖北工业职业技术学院,C50612,349,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C506,湖北工业职业技术学院,C50613,170,247475,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C506,湖北工业职业技术学院,C50615,350,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C506,湖北工业职业技术学院,C50618,191,246782,专业组代码直接匹配；位次由2025年一分一段表换算
2025,物理,C507,荆州理工职业学院,C50705,373,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C507,荆州理工职业学院,C50707,342,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C507,荆州理工职业学院,C50708,115,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C508,鄂州职业大学,C50809,383,,专业组代码直接匹配；对应分数缺少一分一段记录
2025,物理,C508,鄂州职业大学,C50810,399,,专业组代码直接匹配；对应分数缺少一分一段记录
