year,subject,score,rank_from,rank_to,count,remarks
2026,历史,304,123750,124191,442,真实一分一段数据
2026,历史,303,124192,124632,441,真实一分一段数据
2026,历史,302,124633,125082,450,真实一分一段数据
2026,历史,301,125083,125516,434,真实一分一段数据
2026,历史,300,125517,125903,387,真实一分一段数据
2026,历史,299,125904,126330,427,真实一分一段数据
2026,历史,298,126331,126722,392,真实一分一段数据
2026,历史,297,126723,127100,378,真实一分一段数据
2026,历史,296,127101,127473,373,真实一分一段数据
2026,历史,295,127474,127877,404,真实一分一段数据
2026,历史,294,127878,128240,363,真实一分一段数据
2026,历史,293,128241,128630,390,真实一分一段数据
2026,历史,292,128631,128994,364,真实一分一段数据
2026,历史,291,128995,129367,373,真实一分一段数据
2026,历史,290,129368,129710,343,真实一分一段数据
2026,历史,289,129711,130087,377,真实一分一段数据
2026,历史,288,130088,130411,324,真实一分一段数据
2026,历史,287,130412,130746,335,真实一分一段数据
2026,历史,286,130747,131106,360,真实一分一段数据
2026,历史,285,131107,131468,362,真实一分一段数据
2026,历史,284,131469,131811,343,真实一分一段数据
2026,历史,283,131812,132151,340,真实一分一段数据
2026,历史,282,132152,132491,340,真实一分一段数据
2026,历史,281,132492,132819,328,真实一分一段数据
2026,历史,280,132820,133118,299,真实一分一段数据
2026,历史,279,133119,133439,321,真实一分一段数据
2026,历史,278,133440,133764,325,真实一分一段数据
2026,历史,277,133765,134055,291,真实一分一段数据
2026,历史,276,134056,134381,326,真实一分一段数据
2026,历史,275,134382,134692,311,真实一分一段数据
2026,历史,274,134693,134955,263,真实一分一段数据
2026,历史,273,134956,135224,269,真实一分一段数据
2026,历史,272,135225,135508,284,真实一分一段数据
2026,历史,271,135509,135771,263,真实一分一段数据
2026,历史,270,135772,136024,253,真实一分一段数据
2026,历史,269,136025,136302,278,真实一分一段数据
2026,历史,268,136303,136550,248,真实一分一段数据
2026,历史,183,146023,146049,27,真实一分一段数据
2026,历史,182,146050,146076,27,真实一分一段数据
2026,历史,181,146077,146104,28,真实一分一段数据
2026,历史,180,146105,146121,17,真实一分一段数据
2026,历史,179,146122,146151,30,真实一分一段数据
2026,历史,178,146152,146166,15,真实一分一段数据
2026,历史,177,146167,146190,24,真实一分一段数据
2026,历史,176,146191,146215,25,真实一分一段数据
2026,历史,175,146216,146242,27,真实一分一段数据
2026,历史,174,146243,146259,17,真实一分一段数据
2026,历史,173,146260,146278,19,真实一分一段数据
2026,历史,172,146279,146300,22,真实一分一段数据
