year,subject,school_code,school_name,group_code,school_type,city,major_name,direction,plan_count,tuition,joint_program,partner_school,remarks
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,会展策划与管理,计算机|财经|建筑|旅游,8,5000,否,,(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,服装设计与工艺,计算机|财经|建筑|旅游,8,5000,否,,(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,网络新闻与传播,计算机|财经|建筑|旅游,11,5000,否,,(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,全媒体广告策划与营销,计算机|财经|建筑|旅游,12,5000,否,,(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,医学生物技术,计算机|财经|建筑|旅游,11,5000,否,,(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,食品生物技术,计算机|财经|建筑|旅游,8,5000,否,,(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17004,公办,武汉,药品经营与管理,计算机|财经|建筑|旅游,10,5000,否,,(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17005,公办,武汉,酒店管理与数字化运营,旅游,11,5000,否,,(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17005,公办,武汉,空中乘务,旅游,180,6500,否,,"(建议报考考生男性身高在174cm～185cm之间，女性身高在162cm～175cm之间；且五官端正、身材匀称、无明显的""0""型或""X”型腿；无骨关节疾病或畸形；身体裸露部位无明显疤痕；全身无纹身，无烟疤；双眼裸眼或矫正视力C字表0.5及以上；无色盲色弱、无斜视；办学地点：光谷校区)"
2026,历史,C170,武汉职业技术大学,C17006,公办,武汉,现代通信技术,计算机|旅游,20,16800,否,,(中外合作办学)(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17006,公办,武汉,大数据技术,计算机|旅游,10,16800,否,,(中外合作办学)(办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,历史,C170,武汉职业技术大学,C17006,公办,武汉,连锁经营与管理,计算机|旅游,6,16800,否,,(中外合作办学)(办学地点：光谷东校区)
2026,历史,C170,武汉职业技术大学,C17006,公办,武汉,旅游管理,计算机|旅游,10,16800,否,,(中外合作办学)(办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17007,公办,武汉,金融服务与管理,财经|旅游,4,5000,否,,(乡村振兴；办学地点：光谷东校区)
2026,历史,C170,武汉职业技术大学,C17007,公办,武汉,商务英语,财经|旅游,18,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17007,公办,武汉,应用英语,财经|旅游,10,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17007,公办,武汉,旅游管理,财经|旅游,4,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,历史,C170,武汉职业技术大学,C17007,公办,武汉,会展策划与管理,财经|旅游,10,5000,否,,(乡村振兴；办学地点：光谷校区)
