year,subject,score,rank_from,rank_to,count,remarks
2026,物理,330,209297,209715,419,真实一分一段数据
2026,物理,329,209716,210125,410,真实一分一段数据
2026,物理,328,210126,210555,430,真实一分一段数据
2026,物理,327,210556,210955,400,真实一分一段数据
2026,物理,326,210956,211382,427,真实一分一段数据
2026,物理,325,211383,211789,407,真实一分一段数据
2026,物理,324,211790,212205,416,真实一分一段数据
2026,物理,323,212206,212633,428,真实一分一段数据
2026,物理,322,212634,213048,415,真实一分一段数据
2026,物理,321,213049,213459,411,真实一分一段数据
2026,物理,320,213460,213888,429,真实一分一段数据
2026,物理,319,213889,214316,428,真实一分一段数据
2026,物理,318,214317,214708,392,真实一分一段数据
2026,物理,317,214709,215108,400,真实一分一段数据
2026,物理,316,215109,215522,414,真实一分一段数据
2026,物理,315,215523,215929,407,真实一分一段数据
2026,物理,314,215930,216312,383,真实一分一段数据
2026,物理,313,216313,216696,384,真实一分一段数据
2026,物理,312,216697,217065,369,真实一分一段数据
2026,物理,311,217066,217450,385,真实一分一段数据
2026,物理,310,217451,217854,404,真实一分一段数据
2026,物理,309,217855,218212,358,真实一分一段数据
2026,物理,308,218213,218592,380,真实一分一段数据
2026,物理,307,218593,218967,375,真实一分一段数据
2026,物理,306,218968,219320,353,真实一分一段数据
2026,物理,305,219321,219692,372,真实一分一段数据
2026,物理,304,219693,220091,399,真实一分一段数据
2026,物理,303,220092,220458,367,真实一分一段数据
2026,物理,302,220459,220832,374,真实一分一段数据
2026,物理,301,220833,221158,326,真实一分一段数据
2026,物理,300,221159,221476,318,真实一分一段数据
2026,物理,299,221477,221823,347,真实一分一段数据
2026,物理,298,221824,222171,348,真实一分一段数据
2026,物理,297,222172,222532,361,真实一分一段数据
2026,物理,296,222533,222896,364,真实一分一段数据
2026,物理,295,222897,223238,342,真实一分一段数据
2026,物理,210,240348,240405,58,真实一分一段数据
2026,物理,209,240406,240448,43,真实一分一段数据
2026,物理,208,240449,240497,49,真实一分一段数据
2026,物理,207,240498,240535,38,真实一分一段数据
2026,物理,206,240536,240576,41,真实一分一段数据
2026,物理,205,240577,240621,45,真实一分一段数据
2026,物理,204,240622,240662,41,真实一分一段数据
2026,物理,203,240663,240698,36,真实一分一段数据
2026,物理,202,240699,240738,40,真实一分一段数据
2026,物理,201,240739,240772,34,真实一分一段数据
2026,物理,200,240773,240809,37,真实一分一段数据
2026,物理,199,240810,240835,26,真实一分一段数据
2026,物理,198,240836,240863,28,真实一分一段数据
2026,物理,197,240864,240889,26,真实一分一段数据
2026,物理,196,240890,240925,36,真实一分一段数据
2026,物理,195,240926,240951,26,真实一分一段数据
2026,物理,194,240952,240978,27,真实一分一段数据
2026,物理,193,240979,241003,25,真实一分一段数据
2026,物理,192,241004,241023,20,真实一分一段数据
2026,物理,191,241024,241045,22,真实一分一段数据
2026,物理,190,241046,241066,21,真实一分一段数据
